"Target","Target"
"Target Type","Target Type"
"Target Amount","Target Amount"
"Action","Action"
"Action Type","Action Type"
"Action Amount","Action Amount"
"Rule Settings","Rule Settings"
"Processing priority","Processing priority"
"Priority","Priority"
"Rule applies","Rule applies"
"Triggers limit","Triggers limit"
"Discount usage limit","Discount usage limit"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save And Continue Edit","Save And Continue Edit"
"Edit Rule","Edit Rule"
"Add Rule","Add Rule"
"Triggers","Triggers"
"Usage limit","Usage limit"
"Edit","Edit"
"Are you sure?","Are you sure?"
"Manage Rules","Manage Rules"
"ID","ID"
"Customer full name","Customer full name"
"Customer email","Customer email"
"Referrals sent","Referrals sent"
"Referrals signed up","Referrals signed up"
"Referrals purchase quantity","Referrals purchase quantity"
"Referrals Total","Referrals Total"
"Statistics","Statistics"
"Referral for %s","Referral for %s"
"Hi, I thought it might interest you.","Hi, I thought it might interest you."
"Referred Friends","Referred Friends"
"Rule Configuration","Rule Configuration"
"Rule does not exist","Rule does not exist"
"Unable to find rule to save","Unable to find rule to save"
"Please select rule(s)","Please select rule(s)"
"Total of %d rule(s) were successfully deleted","Total of %d rule(s) were successfully deleted"
"You qualify for a discount! The discount of <b>%s</b> will be applied to your next purchase","You qualify for a discount! The discount of <b>%s</b> will be applied to your next purchase"
"Please log in.","Please log in."
"Message to a friend was sent.","Message to a friend was sent."
"Some problems with data.","Some problems with data."
"Some emails were not sent.","Some emails were not sent."
"Your %s discount for referred friends","Your %s discount for referred friends"
"%s has been already referred.","%s has been already referred."
"This customer is already registered.","This customer is already registered."
"You cannot invite yourself.","You cannot invite yourself."
"Subject can't be empty","Subject can't be empty"
"Message can't be empty","Message can't be empty"
"Email address is invalid","Email address is invalid"
"Email template is not specified by administrator","Email template is not specified by administrator"
"Signups quantity","Signups quantity"
"Purchased items quantity","Purchased items quantity"
"Purchase amount","Purchase amount"
"Apply flat rate fixed discount","Apply flat rate fixed discount"
"Apply fixed % discount","Apply fixed % discount"
"Apply % from all referrals purchases","Apply % from all referrals purchases"
"Per customer","Per customer"
"For all referred customers","For all referred customers"
"Refer a Friend invitation","Refer a Friend invitation"
"Refer a Friend","Refer a Friend"
"Invitation","Invitation"
"Allow invitation","Allow invitation"
"Select email template","Select email template"
"Submit","Submit"
"Cancel","Cancel"
"Should we take all orders from all referrals, or orders for each referral separately, to check against the target","Should we take all orders from all referrals, or orders for each referral separately, to check against the target"
"Discount applicable only if","Discount applicable only if"
"Order total is greater than","Order total is greater than"
"Min order total","Min order total"
"Min discount amount","Min discount amount"
"Min discount","Min discount"
"How many times the discount can be earned by a referrer","How many times the discount can be earned by a referrer"
"How many times the discount can be used by a referrer","How many times the discount can be used by a referrer"
"Referrer full name","Referrer full name"
"Referrer email","Referrer email"
"Discounts earned","Discounts earned"
"Discounts used","Discounts used"
"Total/Eligible for discount:","Total/Eligible for discount:"
"Eligible for discount","Eligible for discount"
"Allow using broadcast links","Allow using broadcast links"
"Share the link with your friends:","Share the link with your friends:"
"This rule gives ","This rule gives "
"% from the order total","% from the order total"
"% from all referrals purchases","% from all referrals purchases"
" referral sign ups"," referral sign ups"
" items purchased by referral"," items purchased by referral"
" total referral purchases"," total referral purchases"
"The rule checks this condition by summarizing purchases of ","The rule checks this condition by summarizing purchases of "
"The discount can be earned ","The discount can be earned "
" times"," times"
"unlimited number of times","unlimited number of times"
" by a referrer accumulating discount "," by a referrer accumulating discount "
"sum","sum"
"percent","percent"
"The earned discount can be used ","The earned discount can be used "
" time(s)"," time(s)"
" unlimited number of times"," unlimited number of times"
"the order total is greater than ","the order total is greater than "
"the discount amount is greater than ","the discount amount is greater than "
" and cannot be applied together with a coupon"," and cannot be applied together with a coupon"
" and can be applied together with a coupon"," and can be applied together with a coupon"
" and "," and "
"The discount cannot be earned ","The discount cannot be earned "
"Can not send invitation","Can not send invitation"
"Referral orders limit","Referral orders limit"
"How many referral's orders used to earn a discount","How many referral's orders used to earn a discount"
"Total of all referral's orders","Total of all referral's orders"
"Total of only ","Total of only "
" first referral's order(s)"," first referral's order(s)"
" is used to earn a discount."," is used to earn a discount."
"Item price + Tax","Item price + Tax"
"Item price","Item price"
"Calculate purchase amount as","Calculate purchase amount as"
"Define the page for users to be redirected to after clicking the referred link","Define the page for users to be redirected to after clicking the referred link"
