"%s have been added","%s have been added"
"%s has been added","%s has been added"
"%s already registered","%s already registered"
"no emails were added","no emails were added"
"%s emails have been deleted","%s emails have been deleted"
"%s email has been deleted","%s email has been deleted"
"%s invitations have been send","%s invitations have been send"
"%s invitation has been send","%s invitation has been send"
"This referral link already exists","This referral link already exists"
"Links should contain 4 - 14 symbols","Links should contain 4 - 14 symbols"
"Links should contain from 4 and up to 14 symbols","Links should contain from 4 and up to 14 symbols"
"The link should start with a letter. Allowed symbols - A-Z, 0-9, '-', '_'","The link should start with a letter. Allowed symbols - A-Z, 0-9, '-', '_'"
"Your personal invite link has been successfully changed","Your personal invite link has been successfully changed"
"{{var sendername}} has invited you","{{var sendername}} has invited you"
"This is a personal registration link to the site","Join Legacy Row"
"Hey, I find this site absolutely awesome. Take a look!","Hey, check out this website. It has lots of really cool stuff for fans! Sign up and you'll earn credit for purchase."
"Hey I just found this site, and I find it completely awesome. Have a look!","Hey I just found this site, and I find it completely awesome. Have a look!"
"Invite Friends","Invite Friends"
"Invite Friends!","Invite Friends!"
"Invite Message:","Invite Message:"
"Your Credit is: %s","Your Credit is: %s"
"Your Credit is:","Your Credit is:"
"Your personal invite link is","Your personal invite link is"
"Invite friends. You'll get a %s Credit when they place their first order","Invite friends. You'll get a %s Credit when they place their first order"
"Invite friends. You'll get a %s Credit when they place their first order (if order's amount > %s)","Invite friends. You'll get a %s Credit when they place their first order (if order's amount > %s)"
"Friends you have also invited get a %s Credit","Friends you have also invited get a %s Credit"
"Send your invitations now!","Send your invitations now!"
"Send Invites","Send Invites"
"Send Invitation","Send Invitation"
"Fetch Addressbook","Fetch Addressbook"
"Rename link","Rename link"
"Spread this referral link around your friends on this page or by your own means. Only people, registered via this link will bring you credit.","Spread this referral link around your friends on this page or by your own means. Only people, registered via this link will bring you credit."
"Addressbook","Addressbook"
"Accepted Invitations","Accepted Invitations"
"Add new emails to addressbook","Add new emails to addressbook"
"Download your e-mail address book","Download your e-mail address book"
"Authorize with facebook and share it with friends","Authorize with facebook and share it with friends"
"This is a personal registration link to the site","This is a personal registration link to the site"
"Share in","Share in"
"select all","select all"
"Last sent:","Last sent:"
"Times sent:","Times sent:"
"Friends","Friends"
"Status","Status"
"registered at invitation","registered at invitation"
"registered","registered"
"You can share us with your contacts via Facebook","You can share us with your contacts via Facebook"
"Is it you?","Is it you?"
"Move to 'Send Invites' tab","Move to 'Send Invites' tab"
"Connect with Facebook","Connect with Facebook"
"Enter friends email addresses separated by commas.","Enter friends email addresses separated by commas."
"add emails","add emails"
"We do not keep your passwords","We do not keep your passwords"
"This is your personal coupon code. Use it to spend your credit.","This is your personal coupon code. Use it to spend your credit."
